Sex,Age,Mother job,Father job,Travel time,Hosteller,Study time,subjects_failed,edu_support,Extra paid,Extracurricular,higher_edu,Internet,"Free time  after college (1 less, 5 more)","Going out with friends (1 less, 5 more)",Health,10(%),12(%),1st sem,2nd sem,3rd sem
Female,22,other,other,0,yes,3,0,no,no,no,yes,yes,5,2,5,88.48,85.83,77.29,76.27,72.71
Female,22,at_home,services,5,no,2,0,no,no,yes,yes,no,1,1,3,87.68,75.5,70.29,58.8,60.12
Female,22,other,services,41,no,2,1,no,no,no,no,yes,5,4,2,71.52,68.67,76.86,70.4,70.82
Male,22,health,other,18,yes,2,0,no,no,yes,yes,yes,5,5,5,89,86,80.57,74.27,74.12
Female,22,teacher,other,45,yes,2,0,yes,yes,no,yes,yes,3,3,4,89.6,87.4,63.43,65.33,68.24
Female,21,teacher,other,75,no,3,0,no,no,yes,yes,yes,4,5,3,85,80,68.86,66.93,63.76
Female,21,services,services,89,no,2,0,no,no,yes,yes,yes,3,2,5,73.44,73.16,78.86,74.13,71.88
Female,21,other,other,53,no,2,0,yes,yes,no,yes,yes,4,4,3,83.04,77.33,79.57,69.47,72.35
Male,22,other,other,62,no,2,0,no,no,no,yes,yes,3,3,4,85.92,76.16,68.43,69.6,63.76
Male,21,other,other,60,no,2,0,no,no,no,yes,yes,2,2,2,96,74.3,76.43,69.2,63.88
Female,22,services,services,82,no,2,0,no,no,no,no,yes,4,5,1,90,80,68,61.2,57.88
Male,22,other,services,55,no,3,1,yes,no,no,yes,yes,3,3,5,72,72,71,66.53,4.12
Male,21,other,other,58,no,2,0,no,yes,no,yes,yes,3,2,5,88.48,79.83,77,69.73,54.59
